position,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,environment_distance,fit_score,key_distance_from_previous,key_camelot
1,45894,3y4T7XgcoHbBlObA4vwc8L,john pizzarelli,Midnight McCartney,let ‘em in,22,173480,False,0.59,0.538,7,-9.755,1,0.0749,0.47,0.216,0.0781,0.606,111.508,4,guitar,0.14558,0.85442,,9B
2,7119,5muyMixMNLGeL31Ohi17rN,punch brothers,Hell on Church Street,one more night,29,109254,False,0.548,0.47,7,-9.87,1,0.0351,0.848,0.222,0.144,0.797,73.796,4,bluegrass,0.1106,0.8894,0.0,9B
